Mod:Item:MetaData, Localized Name
rustic:chair_spruce, Spruce Chair
rustic:chair_acacia, Acacia Chair
rustic:chair_jungle, Jungle Chair
rustic:chair_olive, Olive Wood Chair
rustic:chair_ironwood, Ironwood Chair
rustic:table_oak, Oak Table
rustic:table_big_oak, Dark Oak Table
rustic:table_birch, Birch Table
rustic:table_spruce, Spruce Table
rustic:table_acacia, Acacia Table
rustic:table_jungle, Jungle Table
rustic:table_olive, Olive Wood Table
rustic:table_ironwood, Ironwood Table
rustic:vase, Pot
rustic:barrel, Barrel
rustic:iron_lattice, Iron Lattice
rustic:iron_lantern, Iron Lantern
rustic:golden_lantern, Golden Lantern
rustic:silver_lantern, Silver Lantern
rustic:painted_wood_white, White Painted Wood
rustic:painted_wood_orange, Orange Painted Wood
rustic:painted_wood_magenta, Magenta Painted Wood
rustic:painted_wood_light_blue, Light Blue Painted Wood
rustic:painted_wood_yellow, Yellow Painted Wood
rustic:painted_wood_lime, Lime Painted Wood
rustic:painted_wood_pink, Pink Painted Wood
rustic:painted_wood_gray, Gray Painted Wood
rustic:painted_wood_silver, Light Gray Painted Wood
rustic:painted_wood_cyan, Cyan Painted Wood
rustic:painted_wood_purple, Purple Painted Wood
rustic:painted_wood_blue, Blue Painted Wood
rustic:painted_wood_brown, Brown Painted Wood
rustic:painted_wood_green, Green Painted Wood
rustic:painted_wood_red, Red Painted Wood
rustic:painted_wood_black, Black Painted Wood
rustic:gargoyle, Gargoyle
rustic:cabinet, Cabinet
rustic:liquid_barrel, Liquid Barrel
rustic:fertile_soil, Fertile Soil
rustic:planks:0, Olive Wood Planks
rustic:planks:1, Ironwood Planks
rustic:log:0, Olive Wood
rustic:log:1, Ironwood
rustic:leaves:0, Olive Leaves
rustic:leaves:1, Ironwood Leaves
rustic:sapling:0, Olive Sapling
rustic:sapling:1, Ironwood Sapling
rustic:crushing_tub, Crushing Tub
rustic:evaporating_basin, Drying Basin
rustic:fence_olive, Olive Wood Fence
rustic:fence_ironwood, Ironwood Fence
rustic:fence_gate_olive, Olive Wood Fence Gate
rustic:fence_gate_ironwood, Ironwood Fence Gate
rustic:olive_slab_item, Olive Wood Slab
rustic:ironwood_slab_item, Ironwood Slab
rustic:stairs_olive, Olive Wood Stairs
rustic:stairs_ironwood, Ironwood Stairs
rustic:condenser, Alchemic Condenser
rustic:retort, Alchemic Retort
rustic:condenser_advanced, Advanced Alchemic Condenser
rustic:retort_advanced, Advanced Alchemic Retort
rustic:crop_stake, Wooden Stake
rustic:wildberry_bush, Wildberry Bush
rustic:rope, Rope
rustic:grape_stem, Grape Seeds
rustic:brewing_barrel, Brewing Barrel
rustic:apple_seeds, Apple Seeds
rustic:sapling_apple, Apple Sapling
rustic:leaves_apple, Apple Leaves
rustic:olive_door, Olive Door
rustic:ironwood_door, Ironwood Door
rustic:lantern_wood, Wooden Lantern
rustic:aloe_vera, Aloe Vera
rustic:blood_orchid, Blood Orchid
rustic:chamomile, Chamomile
rustic:cohosh, Cohosh
rustic:deathstalk_mushroom, Deathstalk Mushroom
rustic:horsetail, Horsetail
rustic:mooncap_mushroom, Mooncap Mushroom
rustic:wind_thistle, Wind Thistle
rustic:cloudsbluff, Cloudsbluff
rustic:core_root, Core Root
rustic:ginseng, Ginseng Root
rustic:marsh_mallow, Marsh Mallow Root
rustic:book, Almanac
rustic:bee, Bee
rustic:honeycomb, Honeycomb
rustic:beeswax, Beeswax
rustic:tallow, Tallow
rustic:olives, Olives
rustic:ironberries, Ironberries
rustic:fluid_bottle, Bottle of %s
rustic:dust_tiny_iron, Tiny Pile of Iron Dust
rustic:elixir, item.rustic.elixir.name
rustic:tomato, Tomato
rustic:tomato_seeds, Tomato Seeds
rustic:chili_pepper, Chili Pepper
rustic:chili_pepper_seeds, Chili Pepper Seeds
rustic:wildberries, Wildberries
rustic:grapes, Grapes
rusticthaumaturgy:cinderfire_wort, Cinderfire Wort
rusticthaumaturgy:shimmerdew_wort, Shimmerdew Wort
rusticthaumaturgy:viscous_wort, Viscous Wort
rusticthaumaturgy:cinderfire_whiskey, Cinderfire Whiskey
rusticthaumaturgy:shimmerdew_spirits, Shimmerdew Spirits
rusticthaumaturgy:viscous_brew, Viscous Brew
rusticthaumaturgy:candle_brass, Brass Candle
rusticthaumaturgy:chain_brass, Brass Chain
rusticthaumaturgy:chandelier_brass, Brass Chandelier Ring
rusticthaumaturgy:lantern_brass, Brass Lantern
rusticthaumaturgy:chair_greatwood, Greatwood Chair
rusticthaumaturgy:chair_silverwood, Silverwood Chair
rusticthaumaturgy:table_greatwood, Greatwood Table
rusticthaumaturgy:table_silverwood, Silverwood Table
rusticthaumaturgy:sconce_aer,  Aer Crystal Sconce
rusticthaumaturgy:sconce_brass_aer,  Aer Crystal Brass Sconce
rusticthaumaturgy:sconce_terra, Terra Crystal Sconce
rusticthaumaturgy:sconce_brass_terra, Terra Crystal Brass Sconce
rusticthaumaturgy:sconce_ignis, Ignis Crystal Sconce
rusticthaumaturgy:sconce_brass_ignis, Ignis Crystal Brass Sconce
rusticthaumaturgy:sconce_aqua, Aqua Crystal Sconce
rusticthaumaturgy:sconce_brass_aqua, Aqua Crystal Brass Sconce
rusticthaumaturgy:sconce_ordo, Ordo Crystal Sconce
rusticthaumaturgy:sconce_brass_ordo, Ordo Crystal Brass Sconce
rusticthaumaturgy:sconce_perditio, Perditio Crystal Sconce
rusticthaumaturgy:sconce_brass_perditio, Perditio Crystal Brass Sconce
rusticthaumaturgy:sconce_vacuos, Vacuos Crystal Sconce
rusticthaumaturgy:sconce_brass_vacuos, Vacuos Crystal Brass Sconce
rusticthaumaturgy:sconce_lux, Lux Crystal Sconce
rusticthaumaturgy:sconce_brass_lux, Lux Crystal Brass Sconce
rusticthaumaturgy:sconce_motus, Motus Crystal Sconce
rusticthaumaturgy:sconce_brass_motus, Motus Crystal Brass Sconce
rusticthaumaturgy:sconce_gelum, Gelum Crystal Sconce
rusticthaumaturgy:sconce_brass_gelum, Gelum Crystal Brass Sconce
rusticthaumaturgy:sconce_vitreus, Vitreus Crystal Sconce
rusticthaumaturgy:sconce_brass_vitreus, Vitreus Crystal Brass Sconce
rusticthaumaturgy:sconce_metallum, Metallum Crystal Sconce
rusticthaumaturgy:sconce_brass_metallum, Metallum Crystal Brass Sconce
rusticthaumaturgy:sconce_victus, Victus Crystal Sconce
rusticthaumaturgy:sconce_brass_victus, Victus Crystal Brass Sconce
rusticthaumaturgy:sconce_mortuus, Mortuus Crystal Sconce
rusticthaumaturgy:sconce_brass_mortuus, Mortuus Crystal Brass Sconce
rusticthaumaturgy:sconce_potentia, Potentia Crystal Sconce
rusticthaumaturgy:sconce_brass_potentia, Potentia Crystal Brass Sconce
rusticthaumaturgy:sconce_permutatio, Permutatio Crystal Sconce
rusticthaumaturgy:sconce_brass_permutatio, Permutatio Crystal Brass Sconce
rusticthaumaturgy:sconce_praecantatio, Praecantatio Crystal Sconce
rusticthaumaturgy:sconce_brass_praecantatio, Praecantatio Crystal Brass Sconce
rusticthaumaturgy:sconce_auram, Auram Crystal Sconce
rusticthaumaturgy:sconce_brass_auram, Auram Crystal Brass Sconce
rusticthaumaturgy:sconce_alkimia, Alkimia Crystal Sconce
rusticthaumaturgy:sconce_brass_alkimia, Alkimia Crystal Brass Sconce
rusticthaumaturgy:sconce_vitium, Vitium Crystal Sconce
rusticthaumaturgy:sconce_brass_vitium, Vitium Crystal Brass Sconce
rusticthaumaturgy:sconce_tenebrae, Tenebrae Crystal Sconce
rusticthaumaturgy:sconce_brass_tenebrae, Tenebrae Crystal Brass Sconce
rusticthaumaturgy:sconce_alienis, Alienis Crystal Sconce
rusticthaumaturgy:sconce_brass_alienis, Alienis Crystal Brass Sconce
rusticthaumaturgy:sconce_volatus, Volatus Crystal Sconce
rusticthaumaturgy:sconce_brass_volatus, Volatus Crystal Brass Sconce
rusticthaumaturgy:sconce_herba, Herba Crystal Sconce
rusticthaumaturgy:sconce_brass_herba, Herba Crystal Brass Sconce
rusticthaumaturgy:sconce_instrumentum, Instrumentum Crystal Sconce
rusticthaumaturgy:sconce_brass_instrumentum, Instrumentum Crystal Brass Sconce
rusticthaumaturgy:sconce_fabrico, Fabrico Crystal Sconce
rusticthaumaturgy:sconce_brass_fabrico, Fabrico Crystal Brass Sconce
rusticthaumaturgy:sconce_machina, Machina Crystal Sconce
rusticthaumaturgy:sconce_brass_machina, Machina Crystal Brass Sconce
rusticthaumaturgy:sconce_vinculum, Vinculum Crystal Sconce
rusticthaumaturgy:sconce_brass_vinculum, Vinculum Crystal Brass Sconce
rusticthaumaturgy:sconce_spiritus, Spiritus Crystal Sconce
rusticthaumaturgy:sconce_brass_spiritus, Spiritus Crystal Brass Sconce
rusticthaumaturgy:sconce_cognitio, Cognitio Crystal Sconce
rusticthaumaturgy:sconce_brass_cognitio, Cognitio Crystal Brass Sconce
rusticthaumaturgy:sconce_sensus, Sensus Crystal Sconce
rusticthaumaturgy:sconce_brass_sensus, Sensus Crystal Brass Sconce
rusticthaumaturgy:sconce_aversio, Aversio Crystal Sconce
rusticthaumaturgy:sconce_brass_aversio, Aversio Crystal Brass Sconce
rusticthaumaturgy:sconce_praemunio, Praemunio Crystal Sconce
rusticthaumaturgy:sconce_brass_praemunio, Praemunio Crystal Brass Sconce
rusticthaumaturgy:sconce_desiderium, Desiderium Crystal Sconce
rusticthaumaturgy:sconce_brass_desiderium, Desiderium Crystal Brass Sconce
rusticthaumaturgy:sconce_exanimis, Exanimis Crystal Sconce
rusticthaumaturgy:sconce_brass_exanimis, Exanimis Crystal Brass Sconce
rusticthaumaturgy:sconce_bestia, Bestia Crystal Sconce
rusticthaumaturgy:sconce_brass_bestia, Bestia Crystal Brass Sconce
rusticthaumaturgy:sconce_humanus, Humanus Crystal Sconce
rusticthaumaturgy:sconce_brass_humanus, Humanus Crystal Brass Sconce
rusticthaumaturgy:dust_tiny_blaze,  Tiny Pile of Blaze Dust
rusticthaumaturgy:cindermote, Cindermote
rusticthaumaturgy:shimmerpetal, Shimmerpetal
rusticthaumaturgy:viscap, Viscap
rusticthaumaturgy:cindermote_seeds, Cindermote Seeds
rusticthaumaturgy:shimmerpetal_bulb, Shimmerpetal Bulb
rusticthaumaturgy:viscap_spores, Viscap Spores
sereneseasons:greenhouse_glass:0, Greenhouse Glass
sereneseasons:season_sensor_spring:0, Season Sensor
sereneseasons:season_sensor_summer:0, Season Sensor
sereneseasons:season_sensor_autumn:0, Season Sensor
sereneseasons:season_sensor_winter:0, Season Sensor
sereneseasons:ss_icon, SS Icon
sereneseasons:season_clock, Season Clock
thermalfoundation:ore:0, Copper Ore
thermalfoundation:ore:1, Tin Ore
thermalfoundation:ore:2, Silver Ore
thermalfoundation:ore:3, Lead Ore
thermalfoundation:ore:4, Aluminum Ore
thermalfoundation:ore:5, Nickel Ore
thermalfoundation:ore:6, Platinum Ore
thermalfoundation:ore:7, Iridium Ore
thermalfoundation:ore:8, Mana Infused Ore
thermalfoundation:ore_fluid:0, Oil Sand
thermalfoundation:ore_fluid:1, Oil Shale
thermalfoundation:ore_fluid:2, Destabilized Redstone Ore
thermalfoundation:ore_fluid:3, Energized Netherrack
thermalfoundation:ore_fluid:4, Resonant End Stone
thermalfoundation:ore_fluid:5, Oil Sand
thermalfoundation:storage:0, Block of Copper
thermalfoundation:storage:1, Block of Tin
thermalfoundation:storage:2, Block of Silver
thermalfoundation:storage:3, Block of Lead
thermalfoundation:storage:4, Block of Aluminum
thermalfoundation:storage:5, Block of Nickel
thermalfoundation:storage:6, Block of Platinum
thermalfoundation:storage:7, Block of Iridium
thermalfoundation:storage:8, Block of Mana Infused Metal
thermalfoundation:storage_alloy:0, Block of Steel
thermalfoundation:storage_alloy:1, Block of Electrum
thermalfoundation:storage_alloy:2, Block of Invar
thermalfoundation:storage_alloy:3, Block of Bronze
thermalfoundation:storage_alloy:4, Block of Constantan
thermalfoundation:storage_alloy:5, Block of Signalum
thermalfoundation:storage_alloy:6, Block of Lumium
thermalfoundation:storage_alloy:7, Block of Enderium
thermalfoundation:storage_resource:0, Block of Charcoal
thermalfoundation:storage_resource:1, Block of Coal Coke
thermalfoundation:glass:0, Hardened Copper Glass
thermalfoundation:glass:1, Hardened Tin Glass
thermalfoundation:glass:2, Hardened Silver Glass
thermalfoundation:glass:3, Hardened Glass
thermalfoundation:glass:4, Hardened Aluminum Glass
thermalfoundation:glass:5, Hardened Nickel Glass
thermalfoundation:glass:6, Hardened Platinum Glass
thermalfoundation:glass:7, Hardened Iridium Glass
thermalfoundation:glass:8, Hardened Mana Infused Glass
thermalfoundation:glass_alloy:0, Hardened Steel Glass
thermalfoundation:glass_alloy:1, Hardened Electrum Glass
thermalfoundation:glass_alloy:2, Hardened Invar Glass
thermalfoundation:glass_alloy:3, Hardened Bronze Glass
thermalfoundation:glass_alloy:4, Hardened Constantan Glass
thermalfoundation:glass_alloy:5, Hardened Signalum Glass
thermalfoundation:glass_alloy:6, Hardened Lumium Glass
thermalfoundation:glass_alloy:7, Hardened Enderium Glass
thermalfoundation:rockwool:0, Black Rockwool
thermalfoundation:rockwool:1, Red Rockwool
thermalfoundation:rockwool:2, Green Rockwool
thermalfoundation:rockwool:3, Brown Rockwool
thermalfoundation:rockwool:4, Blue Rockwool
thermalfoundation:rockwool:5, Purple Rockwool
thermalfoundation:rockwool:6, Cyan Rockwool
thermalfoundation:rockwool:7, Light Gray Rockwool
thermalfoundation:rockwool:8, Gray Rockwool
thermalfoundation:rockwool:9, Pink Rockwool
thermalfoundation:rockwool:10, Lime Rockwool
thermalfoundation:rockwool:11, Yellow Rockwool
thermalfoundation:rockwool:12, Light Blue Rockwool
thermalfoundation:rockwool:13, Magenta Rockwool
thermalfoundation:rockwool:14, Orange Rockwool
thermalfoundation:rockwool:15, White Rockwool
thermalfoundation:wrench:0, Crescent Hammer
thermalfoundation:meter:0, Multimeter
thermalfoundation:upgrade:0, Hardened Upgrade Kit
thermalfoundation:upgrade:1, Reinforced Upgrade Kit
thermalfoundation:upgrade:2, Signalum Upgrade Kit
thermalfoundation:upgrade:3, Resonant Upgrade Kit
thermalfoundation:upgrade:33, Reinforced Conversion Kit
thermalfoundation:upgrade:34, Signalum Conversion Kit
thermalfoundation:upgrade:35, Resonant Conversion Kit
thermalfoundation:upgrade:256, Creative Conversion Kit
thermalfoundation:security:0, Signalum Security Lock
thermalfoundation:diagram_redprint, Redprint
thermalfoundation:tome_lexicon, Forge Lexicon
thermalfoundation:tome_experience, Tome of Knowledge
thermalfoundation:coin:0, Iron Coin
thermalfoundation:coin:1, Gold Coin
thermalfoundation:coin:64, Copper Coin
thermalfoundation:coin:65, Tin Coin
thermalfoundation:coin:66, Silver Coin
thermalfoundation:coin:67, Lead Coin
thermalfoundation:coin:68, Aluminum Coin
thermalfoundation:coin:69, Nickel Coin
thermalfoundation:coin:70, Platinum Coin
thermalfoundation:coin:71, Iridium Coin
thermalfoundation:coin:72, Mana Infused Coin
thermalfoundation:coin:96, Steel Coin
thermalfoundation:coin:97, Electrum Coin
thermalfoundation:coin:98, Invar Coin
thermalfoundation:coin:99, Bronze Coin
thermalfoundation:coin:100, Constantan Coin
thermalfoundation:coin:101, Signalum Coin
thermalfoundation:coin:102, Lumium Coin
thermalfoundation:coin:103, Enderium Coin
thermalfoundation:fertilizer:0, Phyto-Gro
thermalfoundation:fertilizer:1, Rich Phyto-Gro
thermalfoundation:fertilizer:2, Fluxed Phyto-Gro
thermalfoundation:bait:0, Aqua-Chow
thermalfoundation:bait:1, Rich Aqua-Chow
thermalfoundation:bait:2, Fluxed Aqua-Chow
thermalfoundation:dye:0, Black Pigment
thermalfoundation:dye:1, Red Pigment
thermalfoundation:dye:2, Green Pigment
thermalfoundation:dye:3, Brown Pigment
thermalfoundation:dye:4, Blue Pigment
thermalfoundation:dye:5, Purple Pigment
thermalfoundation:dye:6, Cyan Pigment
thermalfoundation:dye:7, Light Gray Pigment
thermalfoundation:dye:8, Gray Pigment
thermalfoundation:dye:9, Pink Pigment
thermalfoundation:dye:10, Lime Pigment
thermalfoundation:dye:11, Yellow Pigment
thermalfoundation:dye:12, Light Blue Pigment
thermalfoundation:dye:13, Magenta Pigment
thermalfoundation:dye:14, Orange Pigment
thermalfoundation:dye:15, White Pigment
thermalfoundation:material:0, Pulverized Iron
thermalfoundation:material:1, Pulverized Gold
thermalfoundation:material:16, Diamond Nugget
thermalfoundation:material:17, Emerald Nugget
thermalfoundation:material:22, Wooden Gear
thermalfoundation:material:23, Stone Gear
thermalfoundation:material:24, Iron Gear
thermalfoundation:material:25, Gold Gear
thermalfoundation:material:26, Diamond Gear
thermalfoundation:material:27, Emerald Gear
thermalfoundation:material:32, Iron Plate
thermalfoundation:material:33, Gold Plate
thermalfoundation:material:64, Pulverized Copper
thermalfoundation:material:65, Pulverized Tin
thermalfoundation:material:66, Pulverized Silver
thermalfoundation:material:67, Pulverized Lead
thermalfoundation:material:68, Pulverized Aluminum
thermalfoundation:material:69, Pulverized Nickel
thermalfoundation:material:70, Pulverized Platinum
thermalfoundation:material:71, Pulverized Iridium
thermalfoundation:material:72, Pulverized Mana Infused Metal
thermalfoundation:material:96, Steel Blend
thermalfoundation:material:97, Electrum Blend
thermalfoundation:material:98, Invar Blend
thermalfoundation:material:99, Bronze Blend
thermalfoundation:material:100, Constantan Blend
thermalfoundation:material:101, Signalum Blend
thermalfoundation:material:102, Lumium Blend
thermalfoundation:material:103, Enderium Blend
thermalfoundation:material:128, Copper Ingot
thermalfoundation:material:129, Tin Ingot
thermalfoundation:material:130, Silver Ingot
thermalfoundation:material:131, Lead Ingot
thermalfoundation:material:132, Aluminum Ingot
thermalfoundation:material:133, Nickel Ingot
thermalfoundation:material:134, Platinum Ingot
thermalfoundation:material:135, Iridium Ingot
thermalfoundation:material:136, Mana Infused Ingot
thermalfoundation:material:160, Steel Ingot
thermalfoundation:material:161, Electrum Ingot
thermalfoundation:material:162, Invar Ingot
thermalfoundation:material:163, Bronze Ingot
thermalfoundation:material:164, Constantan Ingot
thermalfoundation:material:165, Signalum Ingot
thermalfoundation:material:166, Lumium Ingot
thermalfoundation:material:167, Enderium Ingot
thermalfoundation:material:192, Copper Nugget
thermalfoundation:material:193, Tin Nugget
thermalfoundation:material:194, Silver Nugget
thermalfoundation:material:195, Lead Nugget
thermalfoundation:material:196, Aluminum Nugget
thermalfoundation:material:197, Nickel Nugget
thermalfoundation:material:198, Platinum Nugget
thermalfoundation:material:199, Iridium Nugget
thermalfoundation:material:200, Mana Infused Nugget
thermalfoundation:material:224, Steel Nugget
thermalfoundation:material:225, Electrum Nugget
thermalfoundation:material:226, Invar Nugget
thermalfoundation:material:227, Bronze Nugget
thermalfoundation:material:228, Constantan Nugget
thermalfoundation:material:229, Signalum Nugget
thermalfoundation:material:230, Lumium Nugget
thermalfoundation:material:231, Enderium Nugget
thermalfoundation:material:256, Copper Gear
thermalfoundation:material:257, Tin Gear
thermalfoundation:material:258, Silver Gear
thermalfoundation:material:259, Lead Gear
thermalfoundation:material:260, Aluminum Gear
thermalfoundation:material:261, Nickel Gear
thermalfoundation:material:262, Platinum Gear
thermalfoundation:material:263, Iridium Gear
thermalfoundation:material:264, Mana Infused Gear
thermalfoundation:material:288, Steel Gear
thermalfoundation:material:289, Electrum Gear
thermalfoundation:material:290, Invar Gear
thermalfoundation:material:291, Bronze Gear
thermalfoundation:material:292, Constantan Gear
thermalfoundation:material:293, Signalum Gear
thermalfoundation:material:294, Lumium Gear
thermalfoundation:material:295, Enderium Gear
thermalfoundation:material:320, Copper Plate
thermalfoundation:material:321, Tin Plate
thermalfoundation:material:322, Silver Plate
thermalfoundation:material:323, Lead Plate
thermalfoundation:material:324, Aluminum Plate
thermalfoundation:material:325, Nickel Plate
thermalfoundation:material:326, Platinum Plate
thermalfoundation:material:327, Iridium Plate
thermalfoundation:material:328, Mana Infused Plate
thermalfoundation:material:352, Steel Plate
thermalfoundation:material:353, Electrum Plate
thermalfoundation:material:354, Invar Plate
thermalfoundation:material:355, Bronze Plate
thermalfoundation:material:356, Constantan Plate
thermalfoundation:material:357, Signalum Plate
thermalfoundation:material:358, Lumium Plate
thermalfoundation:material:359, Enderium Plate
thermalfoundation:material:512, Redstone Servo
thermalfoundation:material:513, Redstone Reception Coil
thermalfoundation:material:514, Redstone Transmission Coil
thermalfoundation:material:515, Redstone Conductance Coil
thermalfoundation:material:640, Tool Casing
thermalfoundation:material:656, Drill Head
thermalfoundation:material:657, Saw Blade
thermalfoundation:material:768, Pulverized Coal
thermalfoundation:material:769, Pulverized Charcoal
thermalfoundation:material:770, Pulverized Obsidian
thermalfoundation:material:771, Sulfur
thermalfoundation:material:772, Niter
thermalfoundation:material:800, Sawdust
thermalfoundation:material:801, Compressed Sawdust
thermalfoundation:material:802, Coal Coke
thermalfoundation:material:816, Pulped Biomass
thermalfoundation:material:817, Rich Biomass
thermalfoundation:material:818, Pulped Bioblend
thermalfoundation:material:819, Rich Bioblend
thermalfoundation:material:832, Rosin
thermalfoundation:material:833, Tar
thermalfoundation:material:864, Slag
thermalfoundation:material:865, Rich Slag
thermalfoundation:material:866, Cinnabar
thermalfoundation:material:892, Bitumen
thermalfoundation:material:893, Destabilized Clathrate
thermalfoundation:material:894, Energized Clathrate
thermalfoundation:material:895, Resonant Clathrate
thermalfoundation:material:1024, Pyrotheum Dust
thermalfoundation:material:1025, Cryotheum Dust
thermalfoundation:material:1026, Aerotheum Dust
thermalfoundation:material:1027, Petrotheum Dust
thermalfoundation:material:1028, Mana Dust
thermalfoundation:material:2048, Blizz Rod
thermalfoundation:material:2049, Blizz Powder
thermalfoundation:material:2050, Blitz Rod
thermalfoundation:material:2051, Blitz Powder
thermalfoundation:material:2052, Basalz Rod
thermalfoundation:material:2053, Basalz Powder
thermalfoundation:geode:0, Geode
thermalfoundation:armor.helmet_copper, Copper Helmet
thermalfoundation:armor.plate_copper, Copper Chestplate
thermalfoundation:armor.legs_copper, Copper Leggings
thermalfoundation:armor.boots_copper, Copper Boots
thermalfoundation:armor.helmet_tin, Tin Helmet
thermalfoundation:armor.plate_tin, Tin Chestplate
thermalfoundation:armor.legs_tin, Tin Leggings
thermalfoundation:armor.boots_tin, Tin Boots
thermalfoundation:armor.helmet_silver, Silver Helmet
thermalfoundation:armor.plate_silver, Silver Chestplate
thermalfoundation:armor.legs_silver, Silver Leggings
thermalfoundation:armor.boots_silver, Silver Boots
thermalfoundation:armor.helmet_lead, Lead Helmet
thermalfoundation:armor.plate_lead, Lead Chestplate
thermalfoundation:armor.legs_lead, Lead Leggings
thermalfoundation:armor.boots_lead, Lead Boots
thermalfoundation:armor.helmet_aluminum, Aluminum Helmet
thermalfoundation:armor.plate_aluminum, Aluminum Chestplate
thermalfoundation:armor.legs_aluminum, Aluminum Leggings
thermalfoundation:armor.boots_aluminum, Aluminum Boots
thermalfoundation:armor.helmet_nickel, Nickel Helmet
thermalfoundation:armor.plate_nickel, Nickel Chestplate
thermalfoundation:armor.legs_nickel, Nickel Leggings
thermalfoundation:armor.boots_nickel, Nickel Boots
thermalfoundation:armor.helmet_platinum, Platinum Helmet
thermalfoundation:armor.plate_platinum, Platinum Chestplate
thermalfoundation:armor.legs_platinum, Platinum Leggings
thermalfoundation:armor.boots_platinum, Platinum Boots
thermalfoundation:armor.helmet_steel, Steel Helmet
thermalfoundation:armor.plate_steel, Steel Chestplate
thermalfoundation:armor.legs_steel, Steel Leggings
thermalfoundation:armor.boots_steel, Steel Boots
thermalfoundation:armor.helmet_electrum, Electrum Helmet
thermalfoundation:armor.plate_electrum, Electrum Chestplate
thermalfoundation:armor.legs_electrum, Electrum Leggings
thermalfoundation:armor.boots_electrum, Electrum Boots
thermalfoundation:armor.helmet_invar, Invar Helmet
thermalfoundation:armor.plate_invar, Invar Chestplate
thermalfoundation:armor.legs_invar, Invar Leggings
thermalfoundation:armor.boots_invar, Invar Boots
thermalfoundation:armor.helmet_bronze, Bronze Helmet
thermalfoundation:armor.plate_bronze, Bronze Chestplate
thermalfoundation:armor.legs_bronze, Bronze Leggings
thermalfoundation:armor.boots_bronze, Bronze Boots
thermalfoundation:armor.helmet_constantan, Constantan Helmet
thermalfoundation:armor.plate_constantan, Constantan Chestplate
thermalfoundation:armor.legs_constantan, Constantan Leggings
thermalfoundation:armor.boots_constantan, Constantan Boots
thermalfoundation:tool.sword_copper, Copper Sword
thermalfoundation:tool.shovel_copper, Copper Shovel
thermalfoundation:tool.pickaxe_copper, Copper Pickaxe
thermalfoundation:tool.axe_copper, Copper Axe
thermalfoundation:tool.hoe_copper, Copper Hoe
thermalfoundation:tool.bow_copper, Copper Reinforced Bow
thermalfoundation:tool.fishing_rod_copper, Copper Fishing Rod
thermalfoundation:tool.shears_copper, Copper Shears
thermalfoundation:tool.sickle_copper, Copper Sickle
thermalfoundation:tool.hammer_copper, Copper Hammer
thermalfoundation:tool.excavator_copper, Copper Excavator
thermalfoundation:tool.shield_copper, Copper Shield
thermalfoundation:tool.sword_tin, Tin Sword
thermalfoundation:tool.shovel_tin, Tin Shovel
thermalfoundation:tool.pickaxe_tin, Tin Pickaxe
thermalfoundation:tool.axe_tin, Tin Axe
thermalfoundation:tool.hoe_tin, Tin Hoe
thermalfoundation:tool.bow_tin, Tin Reinforced Bow
thermalfoundation:tool.fishing_rod_tin, Tin Fishing Rod
thermalfoundation:tool.shears_tin, Tin Shears
thermalfoundation:tool.sickle_tin, Tin Sickle
thermalfoundation:tool.hammer_tin, Tin Hammer
thermalfoundation:tool.excavator_tin, Tin Excavator
thermalfoundation:tool.shield_tin, Tin Shield
thermalfoundation:tool.sword_silver, Silver Sword
thermalfoundation:tool.shovel_silver, Silver Shovel
thermalfoundation:tool.pickaxe_silver, Silver Pickaxe
thermalfoundation:tool.axe_silver, Silver Axe
thermalfoundation:tool.hoe_silver, Silver Hoe
thermalfoundation:tool.bow_silver, Silver Reinforced Bow
thermalfoundation:tool.fishing_rod_silver, Silver Fishing Rod
thermalfoundation:tool.shears_silver, Silver Shears
thermalfoundation:tool.sickle_silver, Silver Sickle
thermalfoundation:tool.hammer_silver, Silver Hammer
thermalfoundation:tool.excavator_silver, Silver Excavator
thermalfoundation:tool.shield_silver, Silver Shield
thermalfoundation:tool.sword_lead, Lead Sword
thermalfoundation:tool.shovel_lead, Lead Shovel
thermalfoundation:tool.pickaxe_lead, Lead Pickaxe
thermalfoundation:tool.axe_lead, Lead Axe
thermalfoundation:tool.hoe_lead, Lead Hoe
thermalfoundation:tool.bow_lead, Lead Reinforced Bow
thermalfoundation:tool.fishing_rod_lead, Lead Fishing Rod
thermalfoundation:tool.shears_lead, Lead Shears
thermalfoundation:tool.sickle_lead, Lead Sickle
thermalfoundation:tool.hammer_lead, Lead Hammer
thermalfoundation:tool.excavator_lead, Lead Excavator
thermalfoundation:tool.shield_lead, Lead Shield
thermalfoundation:tool.sword_aluminum, Aluminum Sword
thermalfoundation:tool.shovel_aluminum, Aluminum Shovel
thermalfoundation:tool.pickaxe_aluminum, Aluminum Pickaxe
thermalfoundation:tool.axe_aluminum, Aluminum Axe
thermalfoundation:tool.hoe_aluminum, Aluminum Hoe
thermalfoundation:tool.bow_aluminum, Aluminum Reinforced Bow
thermalfoundation:tool.fishing_rod_aluminum, Aluminum Fishing Rod
thermalfoundation:tool.shears_aluminum, Aluminum Shears
thermalfoundation:tool.sickle_aluminum, Aluminum Sickle
thermalfoundation:tool.hammer_aluminum, Aluminum Hammer
thermalfoundation:tool.excavator_aluminum, Aluminum Excavator
thermalfoundation:tool.shield_aluminum, Aluminum Shield
thermalfoundation:tool.sword_nickel, Nickel Sword
thermalfoundation:tool.shovel_nickel, Nickel Shovel
thermalfoundation:tool.pickaxe_nickel, Nickel Pickaxe
